Frame,Knee_Angle,Hip_Angle
0,-1.1715148223915115,-0.9658426727566864
1,-0.3243021392301362,0.13728293286763468
2,0.5513045170700346,1.2621483187986362
3,1.4672617962126548,2.422345866414028
4,2.4359072404905686,3.632227471972559
5,3.4695096655761413,4.906426852372814
6,4.579843201759249,6.259390449331739
7,5.777801874063849,7.704934440327525
8,7.073066836359745,9.25584196100928
9,8.473833916079125,10.9235112409354
10,9.98660532974902,12.717662297154131
11,11.616046334665462,14.646107123806557
12,13.364904944172972,16.714585700980024
13,15.233990474207843,18.92666738268994
14,17.222204740616707,21.28371434113504
15,19.326618535056927,23.78490103432478
16,21.54258566014586,26.427281535424235
17,23.863886836579695,29.20589527271371
18,26.28289565277345,32.1139012152105
19,28.790758444037543,35.142730732820795
20,31.377580101304012,38.28225042526569
21,34.03260866751294,41.52092809009405
22,36.74441298847179,44.84599712457847
23,39.50104919753638,48.24361649097359
24,42.29021308730027,51.69902483489474
25,45.09937634333664,55.196688579723755
26,47.91590540145656,58.72044486138142
27,50.72716281537854,62.25364091791445
28,53.52059266478384,65.77927195668988
29,56.28379309297132,69.2801195504461
30,59.00457964440069,72.73889203650909
31,61.671042481169046,76.13836712549538
32,64.27159943149688,79.46153553071842
33,66.79504583243228,82.69174363088577
34,69.23060137129833,85.81283294256629
35,71.56795333897318,88.80927391667753
36,73.79729490520393,91.66629104280607
37,75.90935671836505,94.3699757789469
38,77.89543069798582,96.90738392156999
39,79.74738614540503,99.26661495457424
40,81.45767986117944,101.43687241974135
41,83.01936342370843,103.4085057766698
42,84.42609146624955,105.17303515382208
43,85.67213410143859,106.72316108912922
44,86.7523948441918,108.05276213648041
45,87.66243337316091,109.15688377075713
46,88.3984909354641,110.03172189221053
47,88.95751535120598,110.67460349419889
48,89.33718245518914,111.08396608140318
49,89.53591141401652,111.25933638153766
50,89.55287246527247,111.20130792343163
51,89.38798686984421,110.91151635348766
52,89.0419198852465,110.39261095370165
53,88.51606799264792,109.6482206814292
54,87.81254126539605,108.68291330951635
55,86.93414105597816,107.50214695579854
56,85.88433282480622,106.11221429795927
57,84.66721422547381,104.52018104024053
58,83.28747930499166,102.73382173683349
59,81.75038075314492,100.76155730885905
60,80.06169346100272,98.61239853326362
61,78.22768364429277,96.29589824161098
62,76.25508757699934,93.82211292341223
63,74.15110246007086,91.20157274258658
64,71.9233901057648,88.44525748441025
65,69.58009286943381,85.56457439270939
66,67.12986049188923,82.57133293143474
67,64.58188556104511,79.47771227119043
68,61.94594383805847,76.29621983201352
69,59.23243396895231,73.03964229936729
70,56.45240982381295,69.72099258325231
71,53.61759876207796,66.35345632948501
72,50.74040080801413,62.95034019616239
73,47.83386612188278,59.52502239206525
74,44.9116498767475,56.09090482465138
75,41.98794412074406,52.66136553410988
76,39.07738584283353,49.24970935706897
77,36.19494005306485,45.86911397016059
78,33.355756890622146,42.532568430281984
79,30.575002643077703,39.25280265758283
80,27.86766552666603,36.042208255854966
81,25.24833784069011,32.912752184150484
82,22.730977140910156,29.875884549892053
83,20.328650820232873,26.94244088114062
84,18.053270758031847,24.12253866588405
85,15.915327086513248,21.425468430169314
86,13.92363226096753,18.859581222347142
87,12.085088107442447,16.432176205033702
88,10.404489046110513,14.149393043822883
89,8.88437417624282,12.016113808973081
90,7.52493933167619,10.03587886105313
91,6.324017552614904,8.21082102035774
92,5.277133008842037,6.541621939823376
93,4.377629996917396,5.027493736757886
94,3.6168757356032817,3.666187734559385
95,2.984533026976166,2.4540309390122332
96,2.4688956154104766,1.3859897205659735
97,2.0572747409740506,0.45575902944780333
98,1.7364204363402305,-0.34412556486246276
99,1.492956878301842,-1.0221562797400536
