Frame,Knee_Angle,Hip_Angle
0,-0.43975140549731356,-0.3848333038921907
1,0.6068083287963416,0.75717010000577
2,1.6885521457343193,1.936955585120972
3,2.8206711382995446,3.174021054748052
4,4.019198310634437,4.488704577879999
5,5.300484060095128,5.9015339789505985
6,6.680672216493894,7.432584849222589
7,8.175195317114238,9.100870138191409
8,9.798305690120058,10.923781468584611
9,11.562656835202134,12.916598979817502
10,13.47894696609562,15.092082762645147
11,15.555633048556551,17.460154852016547
12,17.79871941785349,20.02767641174631
13,20.211620813996465,22.798320415193096
14,22.795096108934853,25.772536108906312
15,25.547246397964894,28.947598066430896
16,28.463569671195625,32.31772976699692
17,31.53706410160709,35.87428936322568
18,34.75837274853322,39.60600378940278
19,38.11596351500591,43.49923693600865
20,41.59633900017954,47.53827838263403
21,45.184271173203385,51.705640859212004
22,48.86305557506841,55.982356819961495
23,52.61477933069357,60.3482668961471
24,56.42059683467802,64.78229511958149
25,60.26100658544522,69.26270750063676
26,64.11612244821981,73.76735203378608
27,67.96593294052745,78.27387968587719
28,71.79054310729425,82.75994723259382
29,75.57039505263944,87.20340364764877
30,79.28646489786136,91.58246188192332
31,82.9204354245106,95.87585718807375
32,86.45484449254681,100.06299193823403
33,89.87320927829042,104.1240658867983
34,93.160125831945,108.04019064516466
35,96.30134317518434,111.79348766308631
36,99.28381160541342,115.36716973645345
37,102.09570593521748,118.74560672818686
38,104.72642557960468,121.91437686674026
39,107.16657407588282,124.86030558267326
40,109.4079204878737,127.57149397341419
41,111.44334462610516,130.03733838094846
42,113.26676785511731,132.2485413984861
43,114.87307187471976,134.19711334883507
44,116.25800917882982,135.87636230192774
45,117.41811047805223,137.28087040779553
46,118.3505954984753,138.40645527372922
47,119.05329357603831,139.25011759566442
48,119.52457941342409,139.80997957181248
49,119.7633280604496,140.08522128128166
50,119.7688921665693,140.07602282352346
51,119.54110344013574,139.78351813860272
52,119.08029836459859,139.20976292400533
53,118.38736570084549,138.3577157284272
54,117.46381111865827,137.23122955703855
55,116.31183320786958,135.8350510779001
56,114.93440488310857,134.17482464020503
57,113.3353540114291,132.25709815273947
58,111.51943668188281,130.08932787391106
59,109.49239666675551,127.67987995118595
60,107.26100625301599,125.03802795940317
61,104.83308651942403,122.17394696928667
62,102.21750796977638,119.09870525955996
63,99.42417417809446,115.8242546533517
64,96.46399166417187,112.36341977359446
65,93.34882896058531,108.72988526822388
66,90.09146709777845,104.93817847991942
67,86.70554277722063,101.00364386537431
68,83.20548468807564,96.94240532836191
69,79.60644323864356,92.77131342474259
70,75.92421454725252,88.50787558756565
71,72.17516029039993,84.17016866954685
72,68.37612502542336,79.77673408529343
73,64.54435132243604,75.3464568035996
74,60.697390713846204,70.8984305271979
75,56.853006149356936,66.4518123962813
76,53.029060507566946,62.02567104963945
77,49.2433862994143,57.63883176106
78,45.51363370837538,53.309721957726914
79,41.85709687375272,49.05622002395455
80,38.29052125157102,44.89550982493565
81,34.82989748753468,40.843942630685326
82,31.4902490839219,36.91690706427663
83,28.285422056746267,33.12870650177502
84,25.2278847372193,29.492442315530745
85,22.328544916233508,26.019901043359056
86,19.5965900520699,22.721444491935944
87,17.0393550266391,19.605903809688307
88,14.662221460283018,16.680480963399184
89,12.46855253197906,13.95066297532498
90,10.459666687237545,11.420155046080783
91,8.634852105277613,9.090838037865007
92,6.99142187773162,6.962754022639393
93,5.5248083877958525,5.034121410571192
94,4.228694657875235,3.3013793007892387
95,3.0951801292775745,1.7592594436388873
96,2.114978040619925,0.4008833541591545
97,1.2776409025558881,-0.7821184821085876
98,0.5718090950722134,-1.7994684783310952
99,-0.014524667776909422,-2.66208743621024
