,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10
0,-2.004123576891918,-3.6804745382514703,-2.627536639246347,-0.3848333038921907,-1.699509361395238,-0.8285300267685414,-2.129311872208876,-4.399647391454017,-1.8375843336960511,-0.7587270930109521
1,-0.5055770351319425,-2.013640389774312,-1.0793949002372432,0.75717010000577,-0.3308896136011947,0.5506914899988581,-0.6784003771288937,-2.741140103180564,-0.4675345644294959,0.5224253185577995
2,1.0204412828731595,-0.3219932678043704,0.5010217873831775,1.936955585120972,1.0735348174791286,1.960833508059812,0.8140791522544683,-1.061635744914167,0.9291881154803588,1.840148513885859
3,2.5890357997792828,1.4091498211202227,2.126848818888514,3.174021054748052,2.5284995844450693,3.418365089112883,2.3629691406630564,0.6533631251303064,2.369937425441586,3.2127522611028705
4,4.216603296481002,3.195744076532373,3.812602026425591,4.488704577879999,4.049990631524604,4.940783493695133,3.9841485388144258,2.419818873202184,3.8732663026427847,4.659590678680174
5,5.920302129097292,5.054476876588561,5.573711073300422,5.901533978950599,5.654746485357139,6.546037511698836,5.693983596756233,4.254643803645797,5.458343793639747,6.200418883501707
6,7.717500093979472,7.002208610234749,7.42602468416524,7.432584849222589,7.359744210212206,8.251952682988914,7.508774885465964,6.175158178355418,7.144361282146609,7.854755710271491
7,9.625221591549112,9.055415706946516,9.385305811727331,9.100870138191407,9.181686976238424,10.075679870650518,9.444222383675005,8.198540604168054,8.949949793420947,9.641275746173164
8,11.65961393408864,11.229656248290471,11.466733071190964,10.923781468584613,11.136508255025095,12.03318403739019,11.514926645880172,10.341288867747975,10.892627732509158,11.577248605585064
9,13.835451135722256,13.5390767404721,13.684423026724994,12.916598979817502,13.238904937770732,14.13878544493986,13.73394005552574,12.61870749340945,12.988295054405688,13.678038611139522
10,16.165691018439297,15.995976154269846,16.050986630600367,15.092082762645148,15.501909486952457,16.40476222475234,16.112378238786196,15.04443644639638,15.250786056661276,15.956674179012882
11,18.661097778473582,18.610440039475264,18.577131981154267,17.460154852016547,17.936509679417377,18.84102158266601,18.6590981759453,17.6300333714899,17.691489482982604,18.42349289333472
12,21.329937846272056,21.390053228141134,21.271324252572896,20.02767641174631,20.55132360786145,21.454845835328527,21.380447018407303,20.384619342612567,20.31904217211371,21.0858654691604
13,24.177752812754044,24.33969474827029,24.13951189466509,22.798320415193096,23.352337205537506,24.25071774923643,24.280084047395587,23.3145955171371,23.13910101018734,23.947999844396527
